原片材质,原片序号,原片id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
YW10-0218S,13,116,0.0,1420.8,1480.0,517.0
YW10-0218S,13,150,1480.0,1420.8,484.0,365.3
YW10-0218S,13,32,1964.0,1420.8,363.0,92.5
YW10-0218S,14,4,700.0,1080.0,1998.0,558.0
YW10-0218S,14,307,700.0,1638.0,564.0,564.0
YW10-0218S,14,654,1264.0,1638.0,288.0,158.0
YW10-0218S,14,299,1552.0,1638.0,898.0,58.0
YW10-0218S,14,769,2450.0,1638.0,660.0,58.0
YW10-0218S,15,749,1400.0,1080.0,2134.0,462.0
YW10-0218S,15,765,1400.0,1542.0,2398.0,393.0
YW10-0218S,15,177,1400.0,1935.0,1012.0,58.0
YW10-0218S,15,380,2412.0,1935.0,363.0,172.5
YW10-0218S,16,318,2100.0,1080.0,2182.0,577.5
YW10-0218S,16,261,2100.0,1657.5,677.0,529.0
YW10-0218S,16,146,2777.0,1657.5,568.0,92.5
YW10-0218S,17,2,0.0,1440.0,2147.0,517.0
YW10-0218S,17,659,0.0,1957.0,560.0,560.0
YW10-0218S,17,260,560.0,1957.0,458.0,397.5
YW10-0218S,17,246,1018.0,1957.0,462.0,379.0
YW10-0218S,17,458,1480.0,1957.0,798.0,357.0
YW10-0218S,18,121,0.0,0.0,840.0,840.0
YW10-0218S,18,203,840.0,0.0,770.0,770.0
YW10-0218S,18,552,1610.0,0.0,461.0,373.0
YW10-0218S,18,25,0.0,840.0,2398.0,299.0
YW10-0218S,19,634,700.0,0.0,819.0,538.0
YW10-0218S,19,503,1519.0,0.0,437.5,149.0
YW10-0218S,19,250,1956.5,0.0,388.5,342.5
YW10-0218S,19,285,2345.0,0.0,488.0,198.0
YW10-0218S,20,237,1400.0,0.0,904.0,904.0
YW10-0218S,20,201,2304.0,0.0,590.0,58.0
YW10-0218S,20,459,2894.0,0.0,880.0,328.0
YW10-0218S,20,592,1400.0,904.0,1738.0,58.0
YW10-0218S,21,97,2100.0,0.0,881.0,428.0
YW10-0218S,21,420,2981.0,0.0,503.0,503.0
YW10-0218S,21,746,3484.0,0.0,720.0,720.0
YW10-0218S,22,75,0.0,360.0,673.0,58.0
YW10-0218S,22,277,673.0,360.0,577.0,577.0
YW10-0218S,22,63,1250.0,360.0,540.0,427.0
YW10-0218S,22,325,0.0,937.0,2014.0,383.8
YW10-0218S,23,209,700.0,360.0,2098.0,503.0
YW10-0218S,23,714,700.0,863.0,786.0,316.5
YW10-0218S,23,715,1486.0,863.0,526.0,328.0
YW10-0218S,23,705,2012.0,863.0,354.0,339.0
YW10-0218S,23,319,700.0,1202.0,1541.0,327.0
YW10-0218S,24,263,1400.0,360.0,1247.0,722.0
YW10-0218S,24,549,2647.0,360.0,338.0,78.0
YW10-0218S,24,256,2985.0,360.0,508.0,508.0
YW10-0218S,24,147,1400.0,1082.0,1798.0,38.0
YW10-0218S,24,527,3198.0,1082.0,544.0,329.0
YW10-0218S,25,537,2100.0,360.0,2098.0,58.0
YW10-0218S,25,317,4198.0,360.0,288.0,198.0
YW10-0218S,25,579,2100.0,558.0,676.0,346.0
YW10-0218S,25,234,2776.0,558.0,312.0,277.0
YW10-0218S,25,36,3088.0,558.0,1198.0,370.0
YW10-0218S,25,393,2100.0,928.0,1517.0,559.0
YW10-0218S,25,516,3617.0,928.0,716.0,318.0
YW10-0218S,26,88,0.0,720.0,448.0,58.0
YW10-0218S,26,247,448.0,720.0,462.0,379.0
YW10-0218S,26,324,910.0,720.0,347.0,128.0
YW10-0218S,26,296,1257.0,720.0,328.0,328.0
YW10-0218S,26,403,1585.0,720.0,771.0,771.0
YW10-0218S,26,99,0.0,1491.0,2101.0,329.0
YW10-0218S,26,759,0.0,1820.0,1165.0,58.0
YW10-0218S,27,293,700.0,720.0,2058.0,458.0
YW10-0218S,27,365,2758.0,720.0,373.5,348.0
YW10-0218S,27,553,700.0,1178.0,1366.0,295.0
YW10-0218S,27,350,700.0,1473.0,2062.0,58.0
YW10-0218S,27,164,700.0,1531.0,2118.0,58.0
YW10-0218S,27,12,700.0,1589.0,925.0,38.0
YW10-0218S,27,76,1625.0,1589.0,898.0,153.0
YW10-0218S,28,699,1400.0,720.0,698.0,328.0
YW10-0218S,28,500,2098.0,720.0,482.0,48.0
YW10-0218S,28,381,2580.0,720.0,568.0,568.0
YW10-0218S,28,358,1400.0,1288.0,797.0,132.5
YW10-0218S,28,622,2197.0,1288.0,694.0,279.0
YW10-0218S,28,295,2891.0,1288.0,696.5,453.8
YW10-0218S,29,349,2100.0,720.0,777.0,777.0
YW10-0218S,29,567,2877.0,720.0,378.0,378.0
YW10-0218S,29,7,3255.0,720.0,343.0,92.5
YW10-0218S,29,135,3598.0,720.0,788.0,788.0
YW10-0218S,29,658,2100.0,1508.0,752.0,340.0
YW10-0218S,29,118,2852.0,1508.0,338.0,78.0
YW10-0218S,29,388,3190.0,1508.0,463.5,379.0
YW10-0218S,30,376,0.0,1080.0,991.0,462.0
YW10-0218S,30,548,991.0,1080.0,588.0,572.0
YW10-0218S,30,716,1579.0,1080.0,364.0,339.0
YW10-0218S,30,139,0.0,1652.0,2098.0,558.0
YW10-0218S,31,117,700.0,1080.0,1235.5,282.0
YW10-0218S,31,131,1935.5,1080.0,860.0,58.0
YW10-0218S,31,551,700.0,1362.0,841.0,841.0
YW10-0218S,31,490,1541.0,1362.0,863.0,560.0
YW10-0218S,32,255,1400.0,1080.0,2020.0,437.0
YW10-0218S,32,550,1400.0,1517.0,698.0,98.0
YW10-0218S,32,473,2098.0,1517.0,577.0,58.0
YW10-0218S,32,8,1400.0,1615.0,2348.0,630.0
YW10-0218S,33,624,2100.0,1080.0,558.0,443.0
YW10-0218S,33,89,2658.0,1080.0,761.0,555.0
YW10-0218S,33,399,3419.0,1080.0,898.0,237.0
YW10-0218S,33,81,2100.0,1635.0,282.0,214.5
YW10-0218S,33,175,2382.0,1635.0,460.0,373.0
YW10-0218S,33,742,2842.0,1635.0,840.0,338.5
YW10-0218S,33,90,3682.0,1635.0,478.0,278.0
YW10-0218S,34,28,0.0,1440.0,709.0,369.0
YW10-0218S,34,144,709.0,1440.0,942.0,58.0
YW10-0218S,34,632,0.0,1809.0,798.0,258.0
YW10-0218S,34,541,0.0,2067.0,1918.0,58.0
YW10-0218S,34,471,0.0,2125.0,2284.0,395.0
YW10-0218S,35,185,0.0,0.0,580.0,580.0
YW10-0218S,35,347,580.0,0.0,680.0,278.0
YW10-0218S,35,448,0.0,580.0,1198.0,370.0
YW10-0218S,35,148,1198.0,580.0,777.0,327.0
YW10-0218S,36,631,700.0,0.0,1008.0,298.0
YW10-0218S,36,127,700.0,298.0,2001.0,579.0
YW10-0218S,36,61,700.0,877.0,2367.0,218.0
YW10-0218S,37,367,1400.0,0.0,504.0,489.0
YW10-0218S,37,565,1904.0,0.0,704.0,329.0
YW10-0218S,37,273,2608.0,0.0,668.0,545.0
YW10-0218S,37,397,1400.0,545.0,980.0,558.0
YW10-0218S,38,133,2100.0,0.0,2065.0,377.0
YW10-0218S,38,227,2100.0,377.0,489.0,489.0
YW10-0218S,38,80,2589.0,377.0,748.5,540.0
YW10-0218S,39,168,0.0,360.0,1962.0,734.0
YW10-0218S,40,22,700.0,360.0,530.0,530.0
YW10-0218S,40,625,1230.0,360.0,651.0,239.0
YW10-0218S,40,697,700.0,890.0,1934.0,418.0
YW10-0218S,40,407,2634.0,890.0,415.0,412.5
YW10-0218S,41,204,1400.0,360.0,521.0,398.0
YW10-0218S,41,674,1921.0,360.0,484.0,389.0
YW10-0218S,41,31,2405.0,360.0,503.0,172.5
YW10-0218S,41,568,2908.0,360.0,738.5,738.5
YW10-0218S,41,671,1400.0,1098.5,2217.0,58.0
YW10-0218S,41,676,1400.0,1156.5,862.0,327.0
YW10-0218S,41,767,2262.0,1156.5,984.0,98.0
YW10-0218S,41,481,3246.0,1156.5,488.0,158.0
YW10-0218S,42,60,2100.0,360.0,712.0,327.0
YW10-0218S,42,476,2812.0,360.0,671.0,358.0
YW10-0218S,42,128,3483.0,360.0,942.0,58.0
YW10-0218S,42,535,2100.0,718.0,2001.0,801.0
YW10-0218S,43,305,0.0,720.0,867.0,867.0
YW10-0218S,43,338,0.0,1587.0,1998.0,58.0
YW10-0218S,44,436,700.0,720.0,844.5,294.0
YW10-0218S,44,267,1544.5,720.0,930.0,358.0
YW10-0218S,44,95,700.0,1078.0,711.0,558.0
YW10-0218S,44,353,1411.0,1078.0,1382.0,577.5
YW10-0218S,45,342,1400.0,720.0,488.0,158.0
YW10-0218S,45,644,1888.0,720.0,1638.5,882.0
YW10-0218S,46,122,2100.0,720.0,370.0,308.0
YW10-0218S,46,372,2470.0,720.0,841.0,841.0
YW10-0218S,46,576,3311.0,720.0,694.0,279.0
YW10-0218S,46,184,4005.0,720.0,288.0,118.0
YW10-0218S,47,441,0.0,1080.0,425.0,395.0
YW10-0218S,47,463,425.0,1080.0,907.5,907.5
YW10-0218S,47,586,1332.5,1080.0,374.0,347.0
YW10-0218S,47,583,1706.5,1080.0,328.0,328.0
YW10-0218S,48,375,700.0,1080.0,2098.0,558.0
YW10-0218S,48,111,2798.0,1080.0,278.0,38.0
YW10-0218S,48,677,700.0,1638.0,862.0,308.0
YW10-0218S,48,371,1562.0,1638.0,754.0,289.0
YW10-0218S,49,57,1400.0,1080.0,2114.0,441.5
YW10-0218S,49,547,3514.0,1080.0,282.0,214.5
YW10-0218S,49,339,1400.0,1521.5,617.0,278.0
YW10-0218S,49,304,1400.0,1799.5,2368.0,328.0
YW10-0218S,50,571,2100.0,1080.0,420.0,420.0
YW10-0218S,50,753,2520.0,1080.0,942.0,58.0
YW10-0218S,50,773,3462.0,1080.0,524.5,359.0
YW10-0218S,50,588,2100.0,1500.0,2353.0,58.0
YW10-0218S,50,511,2100.0,1558.0,2063.5,430.0
YW10-0218S,51,55,0.0,1440.0,666.0,666.0
YW10-0218S,51,508,0.0,2106.0,2291.0,438.5
YW10-0218S,52,134,0.0,0.0,557.0,557.0
YW10-0218S,52,455,557.0,0.0,811.0,811.0
YW10-0218S,52,82,1368.0,0.0,1024.0,495.0
YW10-0218S,53,394,700.0,0.0,571.0,542.0
YW10-0218S,53,675,1271.0,0.0,1620.0,377.0
YW10-0218S,53,770,700.0,542.0,507.0,415.0
YW10-0218S,53,717,1207.0,542.0,798.0,439.0
YW10-0218S,53,253,2005.0,542.0,847.0,583.0
YW10-0218S,54,563,1400.0,0.0,866.0,866.0
YW10-0218S,54,210,2266.0,0.0,762.0,78.0
YW10-0218S,54,489,3028.0,0.0,526.0,132.5
YW10-0218S,54,623,1400.0,866.0,498.5,38.0
YW10-0218S,54,292,1898.5,866.0,632.0,58.0
YW10-0218S,54,545,1400.0,924.0,2196.0,58.0
YW10-0218S,55,232,2100.0,0.0,524.5,383.8
YW10-0218S,55,443,2624.5,0.0,1028.0,380.0
YW10-0218S,55,106,2100.0,383.8,935.5,369.0
YW10-0218S,55,47,3035.5,383.8,548.0,548.0
YW10-0218S,55,664,3583.5,383.8,651.0,610.0
YW10-0218S,56,457,0.0,360.0,395.0,306.0
YW10-0218S,56,73,0.0,666.0,2388.0,98.0
YW10-0218S,56,149,0.0,764.0,950.0,58.0
YW10-0218S,56,202,950.0,764.0,707.0,489.0
YW10-0218S,56,450,1657.0,764.0,438.0,158.0
YW10-0218S,56,71,0.0,1253.0,1462.0,138.0
YW10-0218S,57,585,700.0,360.0,1458.0,369.0
YW10-0218S,57,284,2158.0,360.0,508.0,508.0
YW10-0218S,57,561,700.0,868.0,1362.0,565.0
YW10-0218S,57,42,2062.0,868.0,754.0,387.5
YW10-0218S,58,174,1400.0,360.0,577.0,38.0
YW10-0218S,58,775,1977.0,360.0,776.0,489.0
YW10-0218S,58,173,2753.0,360.0,464.0,464.0
YW10-0218S,58,332,1400.0,849.0,1797.0,328.0
YW10-0218S,58,454,3197.0,849.0,362.0,58.0
YW10-0218S,58,320,1400.0,1177.0,464.0,378.8
YW10-0218S,58,306,1864.0,1177.0,368.0,368.0
YW10-0218S,58,270,2232.0,1177.0,706.0,279.0
YW10-0218S,58,524,2938.0,1177.0,813.0,38.0
YW10-0218S,59,766,2100.0,360.0,798.0,380.0
YW10-0218S,59,700,2898.0,360.0,777.0,327.0
YW10-0218S,59,702,3675.0,360.0,534.0,272.5
YW10-0218S,59,646,2100.0,740.0,721.0,721.0
YW10-0218S,59,485,2821.0,740.0,488.0,118.0
YW10-0218S,59,336,3309.0,740.0,841.0,83.0
YW10-0218S,59,456,4150.0,740.0,370.0,370.0
YW10-0218S,60,3,0.0,720.0,1179.5,702.0
YW10-0218S,60,678,1179.5,720.0,862.0,577.0
YW10-0218S,60,199,0.0,1422.0,1128.0,348.0
YW10-0218S,60,183,1128.0,1422.0,378.0,378.0
YW10-0218S,60,179,1506.0,1422.0,718.0,58.0
YW10-0218S,61,162,700.0,720.0,649.5,298.0
YW10-0218S,61,395,1349.5,720.0,420.0,376.5
YW10-0218S,61,620,1769.5,720.0,631.0,348.0
YW10-0218S,61,289,700.0,1096.5,898.0,38.0
YW10-0218S,61,573,700.0,1134.5,2081.0,419.0
YW10-0218S,62,687,1400.0,720.0,558.0,558.0
YW10-0218S,62,540,1958.0,720.0,843.0,242.0
YW10-0218S,62,520,2801.0,720.0,881.0,387.5
YW10-0218S,62,113,1400.0,1278.0,2398.0,328.0
YW10-0218S,62,279,1400.0,1606.0,705.0,163.0
YW10-0218S,63,694,2100.0,720.0,1998.0,580.0
YW10-0218S,63,126,4098.0,720.0,388.0,118.0
YW10-0218S,63,368,2100.0,1300.0,503.0,503.0
YW10-0218S,64,27,0.0,1080.0,2182.0,579.0
YW10-0218S,64,103,0.0,1659.0,419.8,419.8
YW10-0218S,64,701,419.8,1659.0,898.0,448.0
YW10-0218S,64,170,0.0,2107.0,2393.0,38.0
YW10-0218S,65,262,700.0,1080.0,848.0,470.0
YW10-0218S,65,40,1548.0,1080.0,488.0,158.0
YW10-0218S,65,709,2036.0,1080.0,404.0,339.0
YW10-0218S,65,16,700.0,1550.0,942.0,392.0
YW10-0218S,66,360,1400.0,1080.0,1998.0,580.0
YW10-0218S,66,539,1400.0,1660.0,958.0,250.0
YW10-0218S,66,581,1400.0,1910.0,2103.0,58.0
YW10-0218S,67,266,2100.0,1080.0,368.0,368.0
YW10-0218S,67,534,2468.0,1080.0,438.0,118.0
YW10-0218S,67,616,2906.0,1080.0,898.0,448.0
YW10-0218S,67,409,2100.0,1528.0,1598.0,78.0
YW10-0218S,67,685,2100.0,1606.0,1362.0,58.0
YW10-0218S,67,732,3462.0,1606.0,338.0,118.0
YW10-0218S,67,522,3800.0,1606.0,444.5,444.0
YW10-0218S,68,93,0.0,1440.0,1165.0,571.0
YW10-0218S,68,115,0.0,2011.0,2388.0,558.0
YW10-0218S,69,158,0.0,0.0,956.0,58.0
YW10-0218S,69,85,956.0,0.0,443.0,226.5
YW10-0218S,69,15,1399.0,0.0,439.0,439.0
YW10-0218S,69,597,1838.0,0.0,560.0,327.0
YW10-0218S,69,736,0.0,439.0,822.0,58.0
YW10-0218S,69,357,822.0,439.0,723.0,477.5
YW10-0218S,69,249,1545.0,439.0,560.5,360.3
YW10-0218S,69,200,0.0,916.5,1818.0,58.0
YW10-0218S,70,92,700.0,0.0,668.0,299.0
YW10-0218S,70,161,1368.0,0.0,1165.0,1165.0
YW10-0218S,71,730,1400.0,0.0,2298.0,330.0
YW10-0218S,71,216,1400.0,330.0,712.0,327.0
YW10-0218S,71,525,2112.0,330.0,724.5,720.0
YW10-0218S,71,724,2836.5,330.0,363.0,172.5
YW10-0218S,72,602,2100.0,0.0,771.0,549.0
YW10-0218S,72,635,2871.0,0.0,338.0,118.0
YW10-0218S,72,11,3209.0,0.0,878.0,478.0
YW10-0218S,72,48,2100.0,549.0,2353.0,38.0
YW10-0218S,72,669,2100.0,587.0,557.0,557.0
YW10-0218S,72,265,2657.0,587.0,1473.0,370.0
YW10-0218S,73,364,0.0,360.0,660.0,58.0
YW10-0218S,73,78,660.0,360.0,762.0,237.0
YW10-0218S,73,514,1422.0,360.0,488.0,118.0
YW10-0218S,73,755,1910.0,360.0,373.5,348.0
YW10-0218S,73,337,0.0,708.0,439.0,439.0
YW10-0218S,73,326,439.0,708.0,1273.0,248.0
YW10-0218S,74,316,700.0,360.0,815.0,395.0
YW10-0218S,74,731,1515.0,360.0,720.0,377.0
YW10-0218S,74,416,2235.0,360.0,778.0,453.8
YW10-0218S,74,62,700.0,813.8,701.0,260.0
YW10-0218S,74,480,1401.0,813.8,579.0,579.0
YW10-0218S,74,38,1980.0,813.8,550.0,550.0
YW10-0218S,74,605,2530.0,813.8,527.5,478.0
YW10-0218S,75,124,1400.0,360.0,938.0,58.0
YW10-0218S,75,189,2338.0,360.0,370.0,308.0
YW10-0218S,75,86,1400.0,668.0,1350.5,430.0
YW10-0218S,75,254,2750.5,668.0,762.0,327.0
YW10-0218S,75,478,1400.0,1098.0,362.0,58.0
YW10-0218S,75,617,1762.0,1098.0,438.0,158.0
YW10-0218S,75,282,2200.0,1098.0,1048.0,58.0
YW10-0218S,75,236,3248.0,1098.0,495.0,395.0
YW10-0218S,76,750,2100.0,360.0,548.0,548.0
YW10-0218S,77,69,0.0,720.0,1981.0,1063.0
YW10-0218S,78,220,700.0,720.0,489.0,489.0
YW10-0218S,78,417,1189.0,720.0,888.5,888.5
YW10-0218S,78,290,2077.5,720.0,711.0,327.5
YW10-0218S,78,693,700.0,1608.5,713.0,132.5
YW10-0218S,79,544,1400.0,720.0,2251.0,812.0
YW10-0218S,80,389,2100.0,720.0,841.0,555.0
YW10-0218S,80,434,2941.0,720.0,353.0,132.5
YW10-0218S,80,308,3294.0,720.0,998.0,310.0
YW10-0218S,81,546,0.0,1080.0,2001.0,711.0
YW10-0218S,81,470,0.0,1791.0,777.0,58.0
YW10-0218S,81,628,777.0,1791.0,1658.0,448.0
YW10-0218S,81,243,0.0,2239.0,882.0,58.0
YW10-0218S,82,638,700.0,1080.0,1998.0,330.0
YW10-0218S,82,9,700.0,1410.0,2348.0,558.0
YW10-0218S,83,606,1400.0,1080.0,992.0,558.0
YW10-0218S,83,415,2392.0,1080.0,822.0,58.0
YW10-0218S,83,509,3214.0,1080.0,483.0,308.0
YW10-0218S,83,408,1400.0,1638.0,684.0,370.5
YW10-0218S,83,648,2084.0,1638.0,1012.0,58.0
YW10-0218S,83,655,3096.0,1638.0,664.0,288.0
YW10-0218S,84,570,2100.0,1080.0,2291.0,438.5
YW10-0218S,84,178,2100.0,1518.5,2028.0,58.0
YW10-0218S,84,704,2100.0,1576.5,2034.0,384.0
YW10-0218S,84,673,2100.0,1960.5,882.0,58.0
YW10-0218S,85,772,0.0,1440.0,1782.0,577.0
YW10-0218S,86,94,0.0,0.0,1121.0,930.0
YW10-0218S,86,46,1121.0,0.0,771.0,771.0
YW10-0218S,87,507,700.0,0.0,618.0,580.0
YW10-0218S,87,19,700.0,580.0,2078.0,98.0
YW10-0218S,87,180,700.0,678.0,1417.0,58.0
YW10-0218S,87,294,2117.0,678.0,437.0,437.0
YW10-0218S,88,557,1400.0,0.0,1934.0,420.5
YW10-0218S,88,640,1400.0,420.5,2294.0,38.0
YW10-0218S,88,152,1400.0,458.5,537.0,537.0
YW10-0218S,88,26,1937.0,458.5,458.0,458.0
YW10-0218S,88,651,2395.0,458.5,762.0,508.0
YW10-0218S,88,729,3157.0,458.5,625.0,38.0
YW10-0218S,89,744,2100.0,0.0,578.0,578.0
YW10-0218S,89,401,2678.0,0.0,682.0,413.0
YW10-0218S,89,259,2100.0,578.0,2161.0,298.0
YW10-0218S,89,453,2100.0,876.0,2224.0,58.0
YW10-0218S,90,345,0.0,360.0,398.0,278.0
YW10-0218S,90,689,398.0,360.0,882.0,447.0
YW10-0218S,90,351,1280.0,360.0,830.0,830.0
YW10-0218S,91,560,700.0,360.0,463.3,463.3
YW10-0218S,91,686,1163.3,360.0,1128.0,348.0
YW10-0218S,91,181,2291.3,360.0,327.0,327.0
YW10-0218S,91,346,700.0,823.3,1781.0,348.0
YW10-0218S,91,533,2481.0,823.3,538.0,538.0
YW10-0218S,92,437,1400.0,360.0,707.0,489.0
YW10-0218S,92,24,2107.0,360.0,735.0,558.0
YW10-0218S,92,718,2842.0,360.0,771.0,88.0
YW10-0218S,92,692,1400.0,918.0,1198.0,370.0
YW10-0218S,93,578,2100.0,360.0,1460.0,58.0
YW10-0218S,93,396,3560.0,360.0,459.5,329.0
YW10-0218S,93,630,2100.0,689.0,1968.0,55.0
YW10-0218S,93,768,2100.0,744.0,912.5,386.5
YW10-0218S,93,637,3012.5,744.0,1172.5,528.0
YW10-0218S,93,44,2100.0,1272.0,593.0,225.0
YW10-0218S,94,344,0.0,720.0,2081.0,579.0
YW10-0218S,94,695,0.0,1299.0,821.0,58.0
YW10-0218S,94,666,821.0,1299.0,464.0,378.8
YW10-0218S,94,488,1285.0,1299.0,668.4,289.0
YW10-0218S,94,362,0.0,1677.8,2196.0,58.0
YW10-0218S,95,487,700.0,720.0,488.0,118.0
YW10-0218S,95,486,1188.0,720.0,729.0,457.5
YW10-0218S,95,515,1917.0,720.0,522.0,417.0
YW10-0218S,95,691,700.0,1177.5,877.0,343.0
YW10-0218S,95,763,1577.0,1177.5,635.0,402.5
YW10-0218S,95,312,2212.0,1177.5,380.0,58.0
YW10-0218S,95,114,700.0,1580.0,1797.0,347.0
YW10-0218S,96,315,1400.0,720.0,2198.0,578.0
YW10-0218S,97,657,2100.0,720.0,863.5,863.5
YW10-0218S,97,618,2963.5,720.0,762.0,297.0
YW10-0218S,97,225,3725.5,720.0,706.0,279.0
YW10-0218S,98,176,0.0,1080.0,488.0,118.0
YW10-0218S,98,96,488.0,1080.0,1162.0,327.0
YW10-0218S,98,760,1650.0,1080.0,523.0,488.0
YW10-0218S,98,530,0.0,1568.0,981.0,174.0
YW10-0218S,98,41,0.0,1742.0,2198.0,198.0
YW10-0218S,99,712,700.0,1080.0,2098.0,580.0
YW10-0218S,99,661,700.0,1660.0,636.0,58.0
YW10-0218S,99,214,1336.0,1660.0,568.0,568.0
YW10-0218S,99,679,1904.0,1660.0,831.0,508.5
YW10-0218S,100,467,1400.0,1080.0,997.0,310.0
YW10-0218S,100,34,2397.0,1080.0,531.0,387.5
YW10-0218S,100,51,2928.0,1080.0,717.0,644.0
YW10-0218S,100,224,1400.0,1724.0,582.5,489.0
YW10-0218S,101,758,2100.0,1080.0,2334.5,311.0
YW10-0218S,101,159,2100.0,1391.0,358.0,358.0
YW10-0218S,101,721,2458.0,1391.0,1011.0,560.0
YW10-0218S,101,519,3469.0,1391.0,444.0,151.5
YW10-0218S,101,392,3913.0,1391.0,474.5,441.5
YW10-0218S,102,423,0.0,1440.0,728.0,728.0
YW10-0218S,102,402,728.0,1440.0,760.0,327.0
YW10-0218S,102,429,1488.0,1440.0,942.0,392.0
YW10-0218S,102,43,0.0,2168.0,460.0,377.0
YW10-0218S,102,151,460.0,2168.0,1884.0,98.0
YW10-0218S,103,172,0.0,0.0,2284.0,395.0
YW10-0218S,103,226,0.0,395.0,488.0,78.0
YW10-0218S,103,384,488.0,395.0,733.1,58.0
YW10-0218S,103,745,0.0,473.0,2034.0,486.5
YW10-0218S,104,72,700.0,0.0,998.0,866.0
YW10-0218S,104,428,1698.0,0.0,996.5,360.5
YW10-0218S,104,142,2694.5,0.0,395.0,395.0
YW10-0218S,105,109,1400.0,0.0,393.0,309.0
YW10-0218S,105,343,1793.0,0.0,771.0,58.0
YW10-0218S,105,283,2564.0,0.0,402.0,249.0
YW10-0218S,105,223,2966.0,0.0,550.0,550.0
YW10-0218S,105,612,1400.0,550.0,527.0,389.0
YW10-0218S,105,468,1927.0,550.0,997.0,310.0
YW10-0218S,106,411,2100.0,0.0,1194.0,495.0
YW10-0218S,106,374,3294.0,0.0,573.0,216.0
YW10-0218S,106,182,2100.0,495.0,1498.0,58.0
YW10-0218S,106,219,3598.0,495.0,760.0,308.0
YW10-0218S,107,359,0.0,360.0,527.0,527.0
YW10-0218S,107,439,527.0,360.0,370.0,308.0
YW10-0218S,107,54,897.0,360.0,338.0,198.0
YW10-0218S,107,738,1235.0,360.0,729.0,729.0
YW10-0218S,107,665,1964.0,360.0,464.0,378.8
YW10-0218S,107,433,0.0,1089.0,898.0,398.0
YW10-0218S,107,517,898.0,1089.0,834.0,454.0
